service_date,day_type,bus,rail_boardings,total_rides
2020-11-18,W,285245,143331,428576
2020-11-19,W,292548,148286,440834
2020-11-20,W,297292,149612,446904
2020-11-21,A,206379,100672,307051
2020-11-22,U,146562,74926,221488
2020-11-23,W,283365,138635,422000
2020-11-24,W,264500,135119,399619
2020-11-25,W,267787,131704,399491
2020-11-26,U,119470,56839,176309
2020-11-27,W,221878,106692,328570
2020-11-28,A,198860,97141,296001
2020-11-29,U,145682,76276,221958
2020-11-30,W,255801,130426,386227
2020-12-01,W,290906,138364,429270
2020-12-02,W,289930,137598,427528
2020-12-03,W,301357,142080,443437
2020-12-04,W,297160,144348,441508
2020-12-05,A,206508,100869,307377
2020-12-06,U,144322,74099,218421
2020-12-07,W,272363,133537,405900
2020-12-08,W,277139,137145,414284
2020-12-09,W,293699,143390,437089
2020-12-10,W,297368,144459,441827
2020-12-11,W,277727,138386,416113
2020-12-12,A,181545,92521,274066
2020-12-13,U,150344,78380,228724
2020-12-14,W,269583,135394,404977
2020-12-15,W,273075,137120,410195
2020-12-16,W,269375,138422,407797
2020-12-17,W,273791,139375,413166
2020-12-18,W,284841,144568,429409
2020-12-19,A,201406,101970,303376
2020-12-20,U,157805,80063,237868
2020-12-21,W,280892,137696,418588
2020-12-22,W,289292,140759,430051
2020-12-23,W,283137,138325,421462
2020-12-24,W,201261,92528,293789
2020-12-25,U,80783,40861,121644
2020-12-26,A,170294,81793,252087
2020-12-27,U,139350,72363,211713
2020-12-28,W,259552,125317,384869
2020-12-29,W,253437,128558,381995
2020-12-30,W,244219,126447,370666
2020-12-31,W,254787,114338,369125
2021-01-01,U,114115,62077,176192
2021-01-02,A,186877,91034,277911
2021-01-03,U,140440,72391,212831
2021-01-04,W,282862,132124,414986
2021-01-05,W,281724,134514,416238
2021-01-06,W,278317,136069,414386
2021-01-07,W,270340,135092,405432
2021-01-08,W,272827,137181,410008
2021-01-09,A,205370,101095,306465
2021-01-10,U,145412,71867,217279
2021-01-11,W,262355,129615,391970
2021-01-12,W,277882,136866,414748
2021-01-13,W,282529,140007,422536
2021-01-14,W,275747,137634,413381
2021-01-15,W,277928,139988,417916
2021-01-16,A,193303,96530,289833
2021-01-17,U,143923,72570,216493
2021-01-18,W,227108,113727,340835
2021-01-19,W,270497,137227,407724
2021-01-20,W,257638,131313,388951
2021-01-21,W,287899,144085,431984
2021-01-22,W,264517,138811,403328
2021-01-23,A,190988,96503,287491
2021-01-24,U,141538,71996,213534
2021-01-25,W,265782,135618,401400
2021-01-26,W,233767,127803,361570
2021-01-27,W,262570,138610,401180
2021-01-28,W,265152,140259,405411
2021-01-29,W,285439,148439,433878
2021-01-30,A,192267,102119,294386
2021-01-31,U,119669,75697,195366
2021-02-01,W,285366,145356,430722
2021-02-02,W,288369,146050,434419
2021-02-03,W,315672,152303,467975
2021-02-04,W,278515,147593,426108
2021-02-05,W,250369,139613,389982
2021-02-06,A,161437,89065,250502
2021-02-07,U,110637,64459,175096
2021-02-08,W,242899,128998,371897
2021-02-09,W,260772,137064,397836
2021-02-10,W,267271,141210,408481
2021-02-11,W,269772,146284,416056
2021-02-12,W,280767,149261,430028
2021-02-13,A,186257,106030,292287
2021-02-14,U,121070,73603,194673
2021-02-15,W,196912,118258,315170
2021-02-16,W,206197,114830,321027
2021-02-17,W,278930,149828,428758
2021-02-18,W,283168,155250,438418
2021-02-19,W,287852,156832,444684
2021-02-20,A,192157,112011,304168
2021-02-21,U,146116,81211,227327
2021-02-22,W,280331,146573,426904
2021-02-23,W,308822,157020,465842
2021-02-24,W,307300,156793,464093
2021-02-25,W,300304,157867,458171
2021-02-26,W,309217,164565,473782
2021-02-27,A,232432,127246,359678
2021-02-28,U,158200,87008,245208
2021-03-01,W,309106,149826,458932
2021-03-02,W,308998,156140,465138
2021-03-03,W,333410,163566,496976
2021-03-04,W,309302,159889,469191
2021-03-05,W,317629,167771,485400
2021-03-06,A,228890,124851,353741
2021-03-07,U,173071,95906,268977
2021-03-08,W,317267,159512,476779
2021-03-09,W,327340,164868,492208
2021-03-10,W,312074,161736,473810
2021-03-11,W,318121,165057,483178
2021-03-12,W,323199,172476,495675
2021-03-13,A,247738,148004,395742
2021-03-14,U,163299,97387,260686
2021-03-15,W,265818,144990,410808
2021-03-16,W,300583,158171,458754
2021-03-17,W,310656,165207,475863
2021-03-18,W,293346,160989,454335
2021-03-19,W,330666,178106,508772
2021-03-20,A,246067,141702,387769
2021-03-21,U,187953,111138,299091
2021-03-22,W,319333,164624,483957
2021-03-23,W,303876,159635,463511
2021-03-24,W,320929,168422,489351
2021-03-25,W,316190,168278,484468
2021-03-26,W,321386,175255,496641
2021-03-27,A,235940,137705,373645
2021-03-28,U,171037,101679,272716
2021-03-29,W,316586,165113,481699
2021-03-30,W,324218,170588,494806
2021-03-31,W,313521,168955,482476
2021-04-01,W,330414,178267,508681
2021-04-02,W,329144,180602,509746
2021-04-03,A,258780,150786,409566
2021-04-04,U,178580,105039,283619
2021-04-05,W,313426,166404,479830
2021-04-06,W,338664,181795,520459
2021-04-07,W,340512,181069,521581
2021-04-08,W,302569,171140,473709
2021-04-09,W,330542,186985,517527
2021-04-10,A,212976,129831,342807
2021-04-11,U,177686,105758,283444
2021-04-12,W,326192,170290,496482
2021-04-13,W,335197,179135,514332
2021-04-14,W,320689,173838,494527
2021-04-15,W,321850,179206,501056
2021-04-16,W,334144,199086,533230
2021-04-17,A,237265,155208,392473
2021-04-18,U,177249,112596,289845
2021-04-19,W,307407,165608,473015
2021-04-20,W,310048,170031,480079
2021-04-21,W,313705,173325,487030
2021-04-22,W,336610,187886,524496
2021-04-23,W,341811,203880,545691
2021-04-24,A,234939,149135,384074
2021-04-25,U,175558,113050,288608
2021-04-26,W,337128,176283,513411
2021-04-27,W,352388,193712,546100
2021-04-28,W,303689,172569,476258
2021-04-29,W,327089,184416,511505
2021-04-30,W,358329,207166,565495
2021-05-01,A,266141,170503,436644
2021-05-02,U,195776,126355,322131
2021-05-03,W,334667,174120,508787
2021-05-04,W,330540,183621,514161
2021-05-05,W,346837,193605,540442
2021-05-06,W,322453,187545,509998
2021-05-07,W,351011,212194,563205
2021-05-08,A,255252,161702,416954
2021-05-09,U,158199,108981,267180
2021-05-10,W,317899,175820,493719
2021-05-11,W,338523,189589,528112
2021-05-12,W,337223,193841,531064
2021-05-13,W,347914,205589,553503
2021-05-14,W,353950,222830,576780
2021-05-15,A,234951,166559,401510
2021-05-16,U,195939,137410,333349
2021-05-17,W,333150,190203,523353
2021-05-18,W,338267,195305,533572
2021-05-19,W,331674,198718,530392
2021-05-20,W,350455,215181,565636
2021-05-21,W,353721,226276,579997
2021-05-22,A,265066,188124,453190
2021-05-23,U,184730,129720,314450
2021-05-24,W,338290,196524,534814
2021-05-25,W,345371,205679,551050
2021-05-26,W,349319,208470,557789
2021-05-27,W,334991,208682,543673
2021-05-28,W,313635,217115,530750
2021-05-29,A,266944,208819,475763
2021-05-30,U,209937,177745,387682
2021-05-31,U,194901,147880,342781
2021-06-01,W,349451,221402,570853
2021-06-02,W,356620,222827,579447
2021-06-03,W,382161,231398,613559
2021-06-04,W,374475,244454,618929
2021-06-05,A,278036,199123,477159
2021-06-06,U,204309,148509,352818
2021-06-07,W,343982,202767,546749
2021-06-08,W,366854,222841,589695
2021-06-09,W,367755,231622,599377
2021-06-10,W,374697,246542,621239
2021-06-11,W,375533,271425,646958
2021-06-12,A,265224,224185,489409
2021-06-13,U,219260,184714,403974
2021-06-14,W,362267,227377,589644
2021-06-15,W,372531,238872,611403
2021-06-16,W,374362,242785,617147
2021-06-17,W,372186,247900,620086
2021-06-18,W,362823,272803,635626
2021-06-19,A,276925,238075,515000
2021-06-20,U,194025,158875,352900
2021-06-21,W,349781,237699,587480
2021-06-22,W,376511,256084,632595
2021-06-23,W,362682,239858,602540
2021-06-24,W,345186,240440,585626
2021-06-25,W,343853,251904,595757
2021-06-26,A,232678,190791,423469
2021-06-27,U,219887,176898,396785
2021-06-28,W,337566,218776,556342
2021-06-29,W,346254,229881,576135
2021-06-30,W,356837,237763,594600
2021-07-01,W,397781,257789,655570
2021-07-02,W,389185,254956,644141
2021-07-03,A,292341,215230,507571
2021-07-04,U,214496,167760,382256
2021-07-05,U,237811,178415,416226
2021-07-06,W,378230,255296,633526
2021-07-07,W,371601,261796,633397
2021-07-08,W,375578,276819,652397
2021-07-09,W,389894,302893,692787
2021-07-10,A,275612,238903,514515
2021-07-11,U,189913,165360,355273
2021-07-12,W,363268,237710,600978
2021-07-13,W,375230,250575,625805
2021-07-14,W,396163,262113,658276
2021-07-15,W,374072,261351,635423
2021-07-16,W,379552,280527,660079
2021-07-17,A,296714,245066,541780
2021-07-18,U,226558,191007,417565
2021-07-19,W,377772,248181,625953
2021-07-20,W,390578,264471,655049
2021-07-21,W,392548,274123,666671
2021-07-22,W,390531,275892,666423
2021-07-23,W,386289,298869,685158
2021-07-24,A,280927,250014,530941
2021-07-25,U,221645,198799,420444
2021-07-26,W,373206,260296,633502
